axis,simulator,template,regime_id,replicate,peak_rss_mb
A,msq,hmp_gingiva,R03,001,1114
A,msq,hmp_gingiva,R03,002,1114
A,msq,hmp_gingiva,R03,003,1114
A,msq,hmp_gingiva,R03,004,1114
A,msq,hmp_gingiva,R03,005,1114
A,msq,hmp_gingiva,R03,006,1114
A,msq,hmp_gingiva,R03,007,1114
A,msq,hmp_gingiva,R03,008,1114
A,msq,hmp_gingiva,R03,009,1113
A,msq,hmp_gingiva,R03,010,1114
A,msq,hmp_gingiva,R03,011,1114
A,msq,hmp_gingiva,R03,012,1114
A,msq,hmp_gingiva,R03,013,1114
A,msq,hmp_gingiva,R03,014,1114
A,msq,hmp_gingiva,R03,015,1113
A,msq,hmp_gingiva,R03,016,1113
A,msq,hmp_gingiva,R03,017,1113
A,msq,hmp_gingiva,R03,018,1113
A,msq,hmp_gingiva,R03,019,1113
A,msq,hmp_gingiva,R03,020,1114
A,msq,hmp_stool,R03,001,1122
A,msq,hmp_stool,R03,002,1120
A,msq,hmp_stool,R03,003,1122
A,msq,hmp_stool,R03,004,1121
A,msq,hmp_stool,R03,005,1122
A,msq,hmp_stool,R03,006,1123
A,msq,hmp_stool,R03,007,1121
A,msq,hmp_stool,R03,008,1122
A,msq,hmp_stool,R03,009,1121
A,msq,hmp_stool,R03,010,1121
A,msq,hmp_stool,R03,011,1121
A,msq,hmp_stool,R03,012,1122
A,msq,hmp_stool,R03,013,1122
A,msq,hmp_stool,R03,014,1123
A,msq,hmp_stool,R03,015,1122
A,msq,hmp_stool,R03,016,1123
A,msq,hmp_stool,R03,017,1122
A,msq,hmp_stool,R03,018,1122
A,msq,hmp_stool,R03,019,1122
A,msq,hmp_stool,R03,020,1122
A,msq,risk_stool,R02,001,649
A,msq,risk_stool,R02,002,648
A,msq,risk_stool,R02,003,649
A,msq,risk_stool,R02,004,649
A,msq,risk_stool,R02,005,649
A,msq,risk_stool,R02,006,649
A,msq,risk_stool,R02,007,649
A,msq,risk_stool,R02,008,648
A,msq,risk_stool,R02,009,649
A,msq,risk_stool,R02,010,649
A,msq,risk_stool,R02,011,648
A,msq,risk_stool,R02,012,648
A,msq,risk_stool,R02,013,649
A,msq,risk_stool,R02,014,649
A,msq,risk_stool,R02,015,648
A,msq,risk_stool,R02,016,649
A,msq,risk_stool,R02,017,648
A,msq,risk_stool,R02,018,649
A,msq,risk_stool,R02,019,649
A,msq,risk_stool,R02,020,649
A,msq,risk_stool,R03,001,648
A,msq,risk_stool,R03,002,649
A,msq,risk_stool,R03,003,649
A,msq,risk_stool,R03,004,649
A,msq,risk_stool,R03,005,649
A,msq,risk_stool,R03,006,648
A,msq,risk_stool,R03,007,649
A,msq,risk_stool,R03,008,649
A,msq,risk_stool,R03,009,648
A,msq,risk_stool,R03,010,649
A,msq,risk_stool,R03,011,649
A,msq,risk_stool,R03,012,649
A,msq,risk_stool,R03,013,648
A,msq,risk_stool,R03,014,649
A,msq,risk_stool,R03,015,648
A,msq,risk_stool,R03,016,649
A,msq,risk_stool,R03,017,648
A,msq,risk_stool,R03,018,648
A,msq,risk_stool,R03,019,649
A,msq,risk_stool,R03,020,648
A,sd2,risk_stool,R00,006,10318
A,sd2,risk_stool,R00,007,10306
A,sd2,risk_stool,R00,008,10732
A,sd2,risk_stool,R06,019,9340
A,sd2,risk_stool,R06,021,10105
A,sd2,risk_stool,R06,022,10441
A,sd2,risk_stool,R06,023,9030
A,sd2,risk_stool,R06,028,10120
A,sd2,risk_stool,R06,042,9357
B,implant,hmp_gingiva,B_abund,001,3165
B,implant,hmp_gingiva,B_abund,002,3098
B,implant,hmp_gingiva,B_abund,003,3045
B,implant,hmp_gingiva,B_abund,004,2832
B,implant,hmp_gingiva,B_abund,005,2775
B,implant,hmp_gingiva,B_abund,006,3015
B,implant,hmp_gingiva,B_abund,007,3000
B,implant,hmp_gingiva,B_abund,008,2647
B,implant,hmp_gingiva,B_abund,009,2862
B,implant,hmp_gingiva,B_abund,010,3066
B,implant,hmp_gingiva,B_abund,011,3109
B,implant,hmp_gingiva,B_abund,012,2705
B,implant,hmp_gingiva,B_abund,013,2773
B,implant,hmp_gingiva,B_abund,014,3014
B,implant,hmp_gingiva,B_abund,015,2902
B,implant,hmp_gingiva,B_abund,016,2743
B,implant,hmp_gingiva,B_abund,017,2533
B,implant,hmp_gingiva,B_abund,018,3086
B,implant,hmp_gingiva,B_abund,019,2685
B,implant,hmp_gingiva,B_abund,020,3031
B,implant,hmp_gingiva,B_allup,001,2937
B,implant,hmp_gingiva,B_allup,002,2994
B,implant,hmp_gingiva,B_allup,003,3087
B,implant,hmp_gingiva,B_allup,004,2963
B,implant,hmp_gingiva,B_allup,005,2998
B,implant,hmp_gingiva,B_allup,006,3139
B,implant,hmp_gingiva,B_allup,007,2864
B,implant,hmp_gingiva,B_allup,008,3075
B,implant,hmp_gingiva,B_allup,009,2962
B,implant,hmp_gingiva,B_allup,010,2962
B,implant,hmp_gingiva,B_allup,011,2716
B,implant,hmp_gingiva,B_allup,012,2953
B,implant,hmp_gingiva,B_allup,013,2660
B,implant,hmp_gingiva,B_allup,014,2844
B,implant,hmp_gingiva,B_allup,015,2823
B,implant,hmp_gingiva,B_allup,016,2708
B,implant,hmp_gingiva,B_allup,017,2893
B,implant,hmp_gingiva,B_allup,018,2837
B,implant,hmp_gingiva,B_allup,019,2987
B,implant,hmp_gingiva,B_allup,020,2671
B,implant,hmp_gingiva,B_conf04,001,2875
B,implant,hmp_gingiva,B_conf04,002,2997
B,implant,hmp_gingiva,B_conf04,003,2928
B,implant,hmp_gingiva,B_conf04,004,2910
B,implant,hmp_gingiva,B_conf04,005,2666
B,implant,hmp_gingiva,B_conf04,006,2944
B,implant,hmp_gingiva,B_conf04,007,3043
B,implant,hmp_gingiva,B_conf04,008,3025
B,implant,hmp_gingiva,B_conf04,009,2679
B,implant,hmp_gingiva,B_conf04,010,2878
B,implant,hmp_gingiva,B_conf04,011,2979
B,implant,hmp_gingiva,B_conf04,012,2828
B,implant,hmp_gingiva,B_conf04,013,2969
B,implant,hmp_gingiva,B_conf04,014,2553
B,implant,hmp_gingiva,B_conf04,015,3132
B,implant,hmp_gingiva,B_conf04,016,3021
B,implant,hmp_gingiva,B_conf04,017,2861
B,implant,hmp_gingiva,B_conf04,018,3081
B,implant,hmp_gingiva,B_conf04,019,2897
B,implant,hmp_gingiva,B_conf04,020,2723
B,implant,hmp_gingiva,B_conf07,001,2792
B,implant,hmp_gingiva,B_conf07,002,2588
B,implant,hmp_gingiva,B_conf07,003,2672
B,implant,hmp_gingiva,B_conf07,004,3078
B,implant,hmp_gingiva,B_conf07,005,2838
B,implant,hmp_gingiva,B_conf07,006,2678
B,implant,hmp_gingiva,B_conf07,007,2907
B,implant,hmp_gingiva,B_conf07,008,2894
B,implant,hmp_gingiva,B_conf07,009,3014
B,implant,hmp_gingiva,B_conf07,010,3016
B,implant,hmp_gingiva,B_conf07,011,3125
B,implant,hmp_gingiva,B_conf07,012,2686
B,implant,hmp_gingiva,B_conf07,013,2627
B,implant,hmp_gingiva,B_conf07,014,2993
B,implant,hmp_gingiva,B_conf07,015,2961
B,implant,hmp_gingiva,B_conf07,016,2986
B,implant,hmp_gingiva,B_conf07,017,2908
B,implant,hmp_gingiva,B_conf07,018,2914
B,implant,hmp_gingiva,B_conf07,019,3091
B,implant,hmp_gingiva,B_conf07,020,3075
B,implant,hmp_gingiva,B_cont,001,2915
B,implant,hmp_gingiva,B_cont,002,2895
B,implant,hmp_gingiva,B_cont,003,3026
B,implant,hmp_gingiva,B_cont,004,3070
B,implant,hmp_gingiva,B_cont,005,2850
B,implant,hmp_gingiva,B_cont,006,3016
B,implant,hmp_gingiva,B_cont,007,2886
B,implant,hmp_gingiva,B_cont,008,3020
B,implant,hmp_gingiva,B_cont,009,2998
B,implant,hmp_gingiva,B_cont,010,2810
B,implant,hmp_gingiva,B_cont,011,2997
B,implant,hmp_gingiva,B_cont,012,2560
B,implant,hmp_gingiva,B_cont,013,3015
B,implant,hmp_gingiva,B_cont,014,2609
B,implant,hmp_gingiva,B_cont,015,3183
B,implant,hmp_gingiva,B_cont,016,2863
B,implant,hmp_gingiva,B_cont,017,3078
B,implant,hmp_gingiva,B_cont,018,3000
B,implant,hmp_gingiva,B_cont,019,3029
B,implant,hmp_gingiva,B_cont,020,2765
B,implant,hmp_gingiva,B_da05,001,3025
B,implant,hmp_gingiva,B_da05,002,2800
B,implant,hmp_gingiva,B_da05,003,2861
B,implant,hmp_gingiva,B_da05,004,2906
B,implant,hmp_gingiva,B_da05,005,2916
B,implant,hmp_gingiva,B_da05,006,2792
B,implant,hmp_gingiva,B_da05,007,2837
B,implant,hmp_gingiva,B_da05,008,3103
B,implant,hmp_gingiva,B_da05,009,2754
B,implant,hmp_gingiva,B_da05,010,3012
B,implant,hmp_gingiva,B_da05,011,2989
B,implant,hmp_gingiva,B_da05,012,3117
B,implant,hmp_gingiva,B_da05,013,2894
B,implant,hmp_gingiva,B_da05,014,3043
B,implant,hmp_gingiva,B_da05,015,3077
B,implant,hmp_gingiva,B_da05,016,2494
B,implant,hmp_gingiva,B_da05,017,3072
B,implant,hmp_gingiva,B_da05,018,2599
B,implant,hmp_gingiva,B_da05,019,2998
B,implant,hmp_gingiva,B_da05,020,2737
B,implant,hmp_gingiva,B_graded,001,2994
B,implant,hmp_gingiva,B_graded,002,2677
